codigo_tse,codigo_ibge,municipio_tse,uf,nome_uf,Município-UF,primeira_estacao_3g,ano_primeira_3g,mes_primeira_3g,n_estacoes_3g_total,operadora_primeira,faixa_primeira,tem_3g_2010,tem_3g_2014,tem_3g_2018,tem_3g_2022,anos_com_3g_2014,anos_com_3g_2018,anos_com_3g_2022
19,1100106,Guajará-Mirim,RO,Rondônia,Guajará-Mirim - RO,1999-11-01,1999,11,10,CLARO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
35,1100205,Porto Velho,RO,Rondônia,Porto Velho - RO,1999-11-01,1999,11,803,VIVO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
51,1100122,Ji-Paraná,RO,Rondônia,Ji-Paraná - RO,1999-09-01,1999,9,153,CLARO,850,1,1,1,1,15.082819986310746,19.082819986310746,23.082819986310746
78,1100023,Ariquemes,RO,Rondônia,Ariquemes - RO,1999-09-01,1999,9,66,VIVO,2100,1,1,1,1,15.082819986310746,19.082819986310746,23.082819986310746
94,1100049,Cacoal,RO,Rondônia,Cacoal - RO,1999-09-01,1999,9,72,VIVO,850,1,1,1,1,15.082819986310746,19.082819986310746,23.082819986310746
116,1100189,Pimenta Bueno,RO,Rondônia,Pimenta Bueno - RO,1999-11-01,1999,11,52,VIVO,2100,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
132,1100304,Vilhena,RO,Rondônia,Vilhena - RO,1999-09-01,1999,9,63,CLARO,850,1,1,1,1,15.082819986310746,19.082819986310746,23.082819986310746
159,1100114,Jaru,RO,Rondônia,Jaru - RO,1999-11-01,1999,11,52,CLARO,2100,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
175,1100155,Ouro Preto Do Oeste,RO,Rondônia,Ouro Preto do Oeste - RO,1999-11-01,1999,11,65,CLARO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
191,1100254,Presidente Médici,RO,Rondônia,Presidente Médici - RO,1999-11-01,1999,11,8,VIVO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
213,1100080,Costa Marques,RO,Rondônia,Costa Marques - RO,2006-02-01,2006,2,3,CLARO,850,1,1,1,1,8.66255989048597,12.66255989048597,16.66255989048597
230,1100064,Colorado Do Oeste,RO,Rondônia,Colorado do Oeste - RO,1999-11-01,1999,11,13,CLARO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
256,1100098,Espigão Do Oeste,RO,Rondônia,Espigão D'Oeste - RO,1999-11-01,1999,11,15,CLARO,850,1,1,1,1,14.915811088295689,18.915811088295687,22.915811088295687
272,1100056,Cerejeiras,RO,Rondônia,Cerejeiras - RO,2004-07-01,2004,7,8,VIVO,850,1,1,1,1,10.250513347022586,14.250513347022586,18.250513347022586
299,1100288,Rolim De Moura,RO,Rondônia,Rolim de Moura - RO,2001-07-01,2001,7,34,CLARO,2100,1,1,1,1,13.25119780971937,17.251197809719372,21.251197809719372
