Código IBGE,primeira_estacao_4g,n_estacoes_4g_total,Município-UF,UF,operadora_primeira,faixa_primeira,ano_primeira_4g,mes_primeira_4g,trimestre_primeira_4g
3106200,2012-01-01,1295,Belo Horizonte - MG,MG,VIVO,2500,2012,1,1
1721000,2012-01-01,131,Palmas - TO,TO,VIVO,700,2012,1,1
3518800,2012-01-01,381,Guarulhos - SP,SP,TIM,700,2012,1,1
2703601,2012-01-01,22,Japaratinga - AL,AL,VIVO,700,2012,1,1
3516309,2012-01-01,129,Francisco Morato - SP,SP,TIM,2500,2012,1,1
3516200,2012-01-01,318,Franca - SP,SP,VIVO,700,2012,1,1
3509502,2012-01-01,451,Campinas - SP,SP,CLARO,700,2012,1,1
3506003,2012-01-01,113,Bauru - SP,SP,VIVO,2500,2012,1,1
5200258,2012-01-01,62,Águas Lindas de Goiás - GO,GO,TIM,2500,2012,1,1
3501608,2012-01-01,203,Americana - SP,SP,TIM,700,2012,1,1
3304557,2012-01-01,4141,Rio de Janeiro - RJ,RJ,TIM,2500,2012,1,1
3303906,2012-01-01,184,Petrópolis - RJ,RJ,CLARO,2500,2012,1,1
5208004,2012-01-01,48,Formosa - GO,GO,CLARO,2500,2012,1,1
3303203,2012-01-01,43,Nilópolis - RJ,RJ,VIVO,700,2012,1,1
3301702,2012-01-01,260,Duque de Caxias - RJ,RJ,TIM,2500,2012,1,1
1302603,2012-01-01,1025,Manaus - AM,AM,VIVO,2500,2012,1,1
3167202,2012-01-01,101,Sete Lagoas - MG,MG,CLARO,700,2012,1,1
2111300,2012-01-01,328,São Luís - MA,MA,VIVO,2500,2012,1,1
3147105,2012-01-01,60,Pará de Minas - MG,MG,TIM,700,2012,1,1
3143302,2012-01-01,239,Montes Claros - MG,MG,VIVO,700,2012,1,1
3143104,2012-01-01,16,Monte Carmelo - MG,MG,CLARO,2500,2012,1,1
3136702,2012-01-01,262,Juiz de Fora - MG,MG,TIM,2500,2012,1,1
3118601,2012-01-01,273,Contagem - MG,MG,VIVO,700,2012,1,1
3105608,2012-01-01,97,Barbacena - MG,MG,VIVO,2500,2012,1,1
5005608,2012-01-01,6,Miranda - MS,MS,VIVO,2500,2012,1,1
2105302,2012-01-01,112,Imperatriz - MA,MA,VIVO,2500,2012,1,1
5208707,2012-01-01,1069,Goiânia - GO,GO,VIVO,700,2012,1,1
4314902,2012-01-01,771,Porto Alegre - RS,RS,VIVO,2500,2012,1,1
3534401,2012-01-01,196,Osasco - SP,SP,VIVO,2500,2012,1,1
5217609,2012-01-01,33,Planaltina - GO,GO,VIVO,700,2012,1,1
4114401,2012-01-01,3,Mangueirinha - PR,PR,TIM,2500,2012,1,1
1600303,2012-01-01,275,Macapá - AP,AP,VIVO,2500,2012,1,1
2304400,2012-01-01,952,Fortaleza - CE,CE,VIVO,700,2012,1,1
4313904,2012-01-01,6,Panambi - RS,RS,VIVO,2500,2012,1,1
1100205,2012-01-01,272,Porto Velho - RO,RO,VIVO,2500,2012,1,1
2313401,2012-01-01,16,Tianguá - CE,CE,CLARO,2500,2012,1,1
4305108,2012-01-01,397,Caxias do Sul - RS,RS,TIM,2500,2012,1,1
1501709,2012-01-01,29,Bragança - PA,PA,TIM,2500,2012,1,1
3554102,2012-01-01,795,Taubaté - SP,SP,VIVO,2500,2012,1,1
1505437,2012-01-01,10,Ourilândia do Norte - PA,PA,VIVO,700,2012,1,1
3550308,2012-01-01,6237,São Paulo - SP,SP,VIVO,2500,2012,1,1
3549805,2012-01-01,458,São José do Rio Preto - SP,SP,VIVO,2500,2012,1,1
2609402,2012-01-01,18,Moreno - PE,PE,VIVO,700,2012,1,1
5211503,2012-01-01,28,Itumbiara - GO,GO,CLARO,2500,2012,1,1
4304606,2012-01-01,108,Canoas - RS,RS,CLARO,700,2012,1,1
4205407,2012-01-01,342,Florianópolis - SC,SC,CLARO,700,2012,1,1
2610004,2012-01-01,23,Palmares - PE,PE,CLARO,700,2012,1,1
3543402,2012-01-01,258,Ribeirão Preto - SP,SP,TIM,2500,2012,1,1
3554003,2012-01-01,72,Tatuí - SP,SP,CLARO,700,2012,1,1
2305233,2012-01-01,50,Horizonte - CE,CE,VIVO,700,2012,1,1
1503309,2012-02-01,19,Igarapé-Miri - PA,PA,CLARO,2500,2012,2,1
5002704,2012-02-01,523,Campo Grande - MS,MS,CLARO,2500,2012,2,1
1506708,2012-02-01,6,Santana do Araguaia - PA,PA,CLARO,2500,2012,2,1
3303500,2012-02-01,280,Nova Iguaçu - RJ,RJ,VIVO,2500,2012,2,1
1501402,2012-02-01,632,Belém - PA,PA,VIVO,2500,2012,2,1
3302858,2012-02-01,59,Mesquita - RJ,RJ,TIM,2500,2012,2,1
1702109,2012-02-01,108,Araguaína - TO,TO,VIVO,2500,2012,2,1
3304904,2012-02-01,238,São Gonçalo - RJ,RJ,TIM,700,2012,2,1
3306008,2012-02-01,19,Três Rios - RJ,RJ,CLARO,2500,2012,2,1
2103505,2012-02-01,5,Colinas - MA,MA,CLARO,2500,2012,2,1
3306206,2012-02-01,27,Vassouras - RJ,RJ,VIVO,700,2012,2,1
1500602,2012-02-01,504,Altamira - PA,PA,TIM,2500,2012,2,1
2927408,2012-02-01,1722,Salvador - BA,BA,VIVO,700,2012,2,1
3548807,2012-02-01,45,São Caetano do Sul - SP,SP,CLARO,2500,2012,2,1
3300308,2012-02-01,42,Barra do Piraí - RJ,RJ,VIVO,700,2012,2,1
5006606,2012-02-01,47,Ponta Porã - MS,MS,CLARO,2500,2012,2,1
5300108,2012-02-01,2590,Brasília - DF,DF,TIM,700,2012,2,1
2604106,2012-02-01,246,Caruaru - PE,PE,VIVO,2500,2012,2,1
2307601,2012-02-01,8,Limoeiro do Norte - CE,CE,CLARO,2500,2012,2,1
2603454,2012-02-01,111,Camaragibe - PE,PE,TIM,2500,2012,2,1
2610707,2012-02-01,69,Paulista - PE,PE,VIVO,700,2012,2,1
2600708,2012-02-01,11,Aliança - PE,PE,CLARO,2500,2012,2,1
2611606,2012-02-01,764,Recife - PE,PE,TIM,2500,2012,2,1
2308302,2012-02-01,7,Milagres - CE,CE,VIVO,2500,2012,2,1
2613701,2012-02-01,264,São Lourenço da Mata - PE,PE,VIVO,700,2012,2,1
1100023,2012-02-01,27,Ariquemes - RO,RO,VIVO,2500,2012,2,1
