codigo_tse,ano,esteban_ray,herfindahl,concentracao_bipartidaria,enp,tem_4g_2014,tem_4g_2018,anos_com_4g_2014,anos_com_4g_2018,ano_primeira_4g,uf,faixa_primeira,tem_3g_2014,tem_3g_2018,anos_com_3g_2014,anos_com_3g_2018,ano_primeira_3g,n_estacoes_3g_total,post,tem_4g,anos_4g,tem_3g,anos_3g,grupo_tratamento,post_x_4g
10022,2010,0.0369735797003197,0.6850581186129793,0.8194392523364487,1.4597301642445697,0,0,0.0,0.0,2022,PI,700,1.0,1.0,4.832306639288158,8.83230663928816,2009.0,2.0,0,0,0.0,1.0,8.83230663928816,nunca_tratado,0
10049,2010,0.0459280749129573,0.5940920759585253,0.7482254697286013,1.6832407642983138,0,0,0.0,0.0,2020,PI,700,0.0,0.0,0.0,0.0,2020.0,3.0,0,0,0.0,0.0,0.0,nunca_tratado,0
10057,2010,0.0451182149828458,0.5967407050477865,0.7521079258010118,1.6757697129441185,0,1,0.0,1.1663244353182751,2017,PI,2500,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,8.0,0,1,1.1663244353182751,1.0,9.500342231348393,tratado_2018,0
10073,2010,0.0486924420608201,0.5789457231164744,0.7374657728259844,1.727277636005295,0,1,0.0,1.3333333333333333,2017,PI,700,1.0,1.0,14.915811088295689,18.915811088295687,1999.0,28.0,0,1,1.3333333333333333,1.0,18.915811088295687,tratado_2018,0
10081,2010,0.0335806382547247,0.7167835933709236,0.8402520385470719,1.395121218242668,0,0,0.0,0.0,2020,PI,700,1.0,1.0,4.747433264887063,8.747433264887064,2010.0,5.0,0,0,0.0,1.0,8.747433264887064,nunca_tratado,0
10090,2010,0.0434136414370707,0.6271711668338952,0.7762958143569724,1.5944610544649729,0,1,0.0,2.3326488706365502,2016,PI,2500,1.0,1.0,9.661875427789186,13.661875427789186,2005.0,7.0,0,1,2.3326488706365502,1.0,13.661875427789186,tratado_2018,0
10103,2010,0.0456368586059503,0.5878717732469946,0.749366447034972,1.701051224957946,0,0,0.0,0.0,2021,PI,700,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,12.0,0,0,0.0,1.0,9.500342231348393,nunca_tratado,0
10138,2010,0.0421856863866159,0.6364565601989852,0.7845343548000957,1.5711991399497156,0,0,0.0,0.0,2022,PI,700,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,10.0,0,0,0.0,1.0,9.500342231348393,nunca_tratado,0
10146,2010,0.039158417282941,0.7018530413359897,0.8265875785066295,1.4247996960966107,0,0,0.0,0.0,2018,PI,700,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,3.0,0,0,0.0,1.0,9.500342231348393,nunca_tratado,0
10154,2010,0.0613502227308322,0.4064256320594475,0.5274081958488557,2.460474736627169,0,0,0.0,0.0,2021,PI,700,1.0,1.0,4.58590006844627,8.58590006844627,2010.0,4.0,0,0,0.0,1.0,8.58590006844627,nunca_tratado,0
10162,2010,0.0426040679029625,0.6665230897747149,0.8028515240904621,1.5003231175952216,0,0,0.0,0.0,2019,PI,700,1.0,1.0,5.831622176591376,9.831622176591376,2008.0,3.0,0,0,0.0,1.0,9.831622176591376,nunca_tratado,0
10170,2010,0.0348793605146978,0.7172225753046317,0.8389355742296919,1.394267322909157,0,1,0.0,0.1670088980150581,2018,PI,2500,0.0,1.0,0.0,0.1670088980150581,2018.0,4.0,0,1,0.1670088980150581,1.0,0.1670088980150581,tratado_2018,0
10189,2010,0.0464519037846477,0.549737477534032,0.7135100606834877,1.8190500754755148,0,0,0.0,0.0,2022,PI,700,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,6.0,0,0,0.0,1.0,9.500342231348393,nunca_tratado,0
10197,2010,0.0359312756286317,0.6351848702443941,0.7865079365079365,1.5743448039233672,0,0,0.0,0.0,2019,PI,700,1.0,1.0,5.500342231348392,9.500342231348393,2009.0,2.0,0,0,0.0,1.0,9.500342231348393,nunca_tratado,0
