codigo_tse,sigla_partido,votos
10006,MDB,54
10006,NOVO,41
10006,PATRI,17
10006,PDT,460
10006,PODE,10
10006,PSDB,44
10006,PSL,606
10006,PSOL,2
10006,PSTU,1
10006,PT,3803
10006,REDE,12
10014,MDB,29
10014,NOVO,17
10014,PATRI,7
10014,PDT,275
10014,PODE,11
10014,PSDB,65
10014,PSL,503
10014,PSOL,5
10014,PSTU,1
10014,PT,2794
10014,REDE,24
10022,DC,1
10022,MDB,29
10022,NOVO,10
10022,PATRI,5
10022,PDT,649
10022,PODE,3
10022,PPL,1
10022,PSDB,61
10022,PSL,363
10022,PSOL,2
10022,PSTU,1
10022,PT,2225
10022,REDE,9
10030,DC,1
10030,MDB,58
10030,NOVO,88
10030,PATRI,64
10030,PDT,1212
10030,PODE,28
10030,PSDB,102
10030,PSL,2528
10030,PSOL,16
10030,PSTU,3
10030,PT,7078
10030,REDE,35
10049,DC,1
10049,MDB,81
10049,NOVO,7
10049,PATRI,76
10049,PDT,696
10049,PODE,13
10049,PSDB,138
10049,PSL,1249
10049,PSOL,11
10049,PSTU,2
10049,PT,4448
10049,REDE,18
10057,DC,2
10057,MDB,75
10057,NOVO,45
10057,PATRI,22
10057,PDT,858
10057,PODE,17
10057,PSDB,225
10057,PSL,1283
10057,PSOL,28
10057,PT,6646
10057,REDE,36
10065,DC,3
10065,MDB,24
10065,NOVO,9
10065,PATRI,35
10065,PDT,362
10065,PODE,10
10065,PSDB,84
10065,PSL,712
10065,PSOL,8
10065,PSTU,1
10065,PT,3129
10065,REDE,10
01007,DC,4
01007,MDB,131
01007,NOVO,12
01007,PATRI,38
01007,PDT,301
01007,PODE,30
01007,PPL,1
01007,PSDB,617
01007,PSL,4140
01007,PSOL,24
01007,PSTU,1
01007,PT,1134
01007,REDE,131
10073,DC,6
10073,MDB,233
10073,NOVO,115
10073,PATRI,120
10073,PDT,1878
10073,PODE,72
10073,PPL,5
10073,PSDB,418
10073,PSL,3571
10073,PSOL,62
10073,PSTU,8
10073,PT,18020
10073,REDE,159
10081,MDB,31
10081,NOVO,18
10081,PATRI,13
10081,PDT,269
10081,PODE,9
10081,PSDB,59
10081,PSL,98
10081,PSOL,9
10081,PT,3060
10081,REDE,8
10090,DC,7
10090,MDB,92
10090,NOVO,99
10090,PATRI,50
10090,PDT,633
10090,PODE,12
10090,PSDB,146
10090,PSL,1279
10090,PSOL,33
10090,PSTU,4
10090,PT,8432
10090,REDE,56
10103,DC,2
10103,MDB,26
10103,NOVO,13
10103,PATRI,10
10103,PDT,1207
10103,PODE,4
10103,PSDB,108
10103,PSL,324
10103,PSOL,14
10103,PSTU,2
10103,PT,2927
10103,REDE,14
10111,DC,1
10111,MDB,32
10111,NOVO,46
10111,PATRI,36
10111,PDT,413
10111,PODE,10
10111,PSDB,74
10111,PSL,749
10111,PSOL,16
10111,PT,3369
10111,REDE,19
10120,DC,2
10120,MDB,87
10120,NOVO,19
10120,PATRI,41
10120,PDT,637
10120,PODE,13
10120,PSDB,98
10120,PSL,525
10120,PSOL,10
10120,PSTU,2
10120,PT,5098
10120,REDE,31
10138,DC,1
10138,MDB,47
10138,NOVO,14
10138,PATRI,16
10138,PDT,459
10138,PODE,9
10138,PPL,1
10138,PSDB,86
10138,PSL,436
10138,PSOL,5
10138,PSTU,2
10138,PT,3981
10138,REDE,3
10146,MDB,19
10146,NOVO,22
10146,PATRI,21
10146,PDT,708
10146,PODE,6
10146,PSDB,68
10146,PSL,388
10146,PSOL,1
10146,PSTU,2
10146,PT,2516
10146,REDE,1
01015,DC,6
01015,MDB,104
01015,NOVO,2
01015,PATRI,22
01015,PDT,236
01015,PODE,18
01015,PPL,2
01015,PSDB,616
01015,PSL,3484
01015,PSOL,29
01015,PT,992
01015,REDE,77
10154,DC,1
10154,MDB,15
10154,NOVO,18
10154,PATRI,12
10154,PDT,138
10154,PODE,6
10154,PSDB,60
10154,PSL,581
10154,PSOL,6
10154,PT,1137
10154,REDE,16
10162,MDB,28
10162,NOVO,2
10162,PATRI,13
10162,PDT,290
10162,PODE,7
10162,PSDB,39
10162,PSL,202
10162,PSOL,3
10162,PSTU,2
10162,PT,1508
10162,REDE,3
10170,DC,1
10170,MDB,34
10170,NOVO,9
10170,PATRI,2
10170,PDT,255
10170,PODE,6
10170,PPL,1
10170,PSDB,27
10170,PSL,452
10170,PSOL,6
10170,PSTU,2
10170,PT,3199
10170,REDE,9
10189,DC,1
